iter	Logloss
0	0.6504577796
1	0.5924654802
2	0.5490012169
3	0.5128467083
4	0.484453996
5	0.451302886
6	0.4228323301
7	0.3994024595
8	0.3780044317
9	0.3583574295
10	0.3397884369
11	0.3180551926
12	0.3021805485
13	0.2858779629
14	0.2711583376
15	0.2579559882
16	0.247641921
17	0.2338532209
18	0.2209050655
19	0.2112528284
20	0.2024741769
21	0.1931103468
22	0.1817598542
23	0.1743096312
24	0.1672938665
25	0.1595610579
26	0.1538883249
27	0.1487983863
28	0.1426955263
29	0.1371793151
30	0.13247931
31	0.1280534168
32	0.1211162408
33	0.1169104576
34	0.1117121478
35	0.1064836979
36	0.1032440066
37	0.0980767409
38	0.09543851018
39	0.09280627966
40	0.08992437522
41	0.08631135027
42	0.08279010653
43	0.08047591647
44	0.07796428104
45	0.07463219762
46	0.07259405156
47	0.07049293816
48	0.06824403505
49	0.06645319859
50	0.06383722027
51	0.06221574545
52	0.06065980097
53	0.05900932352
54	0.05756668746
55	0.05657824377
56	0.05514201522
57	0.05358844995
58	0.05223313471
59	0.05117018521
60	0.0502581497
61	0.04902172089
62	0.04781307777
63	0.04688093066
64	0.0461798807
65	0.04503863057
66	0.04364448786
67	0.04267588258
68	0.04199127356
69	0.0409569641
70	0.03996172051
71	0.0391700541
72	0.03838733335
73	0.03763951361
74	0.03680822253
75	0.03624704729
76	0.03525320937
77	0.03442836305
78	0.03391837577
79	0.03304467847
80	0.03237950305
81	0.03166270504
82	0.03113530576
83	0.03052253524
84	0.02983205517
85	0.02931723744
86	0.02889940143
87	0.0283589686
88	0.02794575195
89	0.02762973805
90	0.02717761447
91	0.02681110303
92	0.0263582319
93	0.02580152204
94	0.02539637436
95	0.02511396011
96	0.02482563257
97	0.0244983534
98	0.0241925319
99	0.02389176687
100	0.02361578246
101	0.02328847845
102	0.02303994199
103	0.02280503511
104	0.02234548082
105	0.02213287105
106	0.02190501491
107	0.02170076718
108	0.02148491144
109	0.02126932641
110	0.02101669957
111	0.02077142894
112	0.02053306748
113	0.02033213153
114	0.0201415581
115	0.01995208114
116	0.01976885647
117	0.01958480353
118	0.01940207928
119	0.0192162556
120	0.01903868839
121	0.01886140555
122	0.01869748781
123	0.01853171488
124	0.01836838325
125	0.01820825289
126	0.01805524528
127	0.01789055765
128	0.01773325602
129	0.01758415128
130	0.01743794978
131	0.01729752372
132	0.01715610176
133	0.01701657971
134	0.01687429597
135	0.0167400303
136	0.01660787811
137	0.01647277425
138	0.01634653658
139	0.01622174184
140	0.01609210546
141	0.01596954092
142	0.01585136106
143	0.01572313408
144	0.01560675601
145	0.01549228405
146	0.01537927861
147	0.01526797563
148	0.01514821996
149	0.01504204422
